date,year,month,day,dayofweek,quarter,is_weekend,month_name,dayofweek_name,id
2022-01-01,2022,1,1,5,1,1,January,Saturday,20220101
2022-01-02,2022,1,2,6,1,1,January,Sunday,20220102
2022-01-03,2022,1,3,0,1,0,January,Monday,20220103
2022-01-04,2022,1,4,1,1,0,January,Tuesday,20220104
2022-01-05,2022,1,5,2,1,0,January,Wednesday,20220105
2022-01-06,2022,1,6,3,1,0,January,Thursday,20220106
2022-01-07,2022,1,7,4,1,0,January,Friday,20220107
2022-01-08,2022,1,8,5,1,1,January,Saturday,20220108
2022-01-09,2022,1,9,6,1,1,January,Sunday,20220109
2022-01-10,2022,1,10,0,1,0,January,Monday,20220110
2022-01-11,2022,1,11,1,1,0,January,Tuesday,20220111
2022-01-12,2022,1,12,2,1,0,January,Wednesday,20220112
2022-01-13,2022,1,13,3,1,0,January,Thursday,20220113
2022-01-14,2022,1,14,4,1,0,January,Friday,20220114
2022-01-15,2022,1,15,5,1,1,January,Saturday,20220115
2022-01-16,2022,1,16,6,1,1,January,Sunday,20220116
2022-01-17,2022,1,17,0,1,0,January,Monday,20220117
2022-01-18,2022,1,18,1,1,0,January,Tuesday,20220118
2022-01-19,2022,1,19,2,1,0,January,Wednesday,20220119
2022-01-20,2022,1,20,3,1,0,January,Thursday,20220120
2022-01-21,2022,1,21,4,1,0,January,Friday,20220121
2022-01-22,2022,1,22,5,1,1,January,Saturday,20220122
2022-01-23,2022,1,23,6,1,1,January,Sunday,20220123
2022-01-24,2022,1,24,0,1,0,January,Monday,20220124
2022-01-25,2022,1,25,1,1,0,January,Tuesday,20220125
2022-01-26,2022,1,26,2,1,0,January,Wednesday,20220126
2022-01-27,2022,1,27,3,1,0,January,Thursday,20220127
2022-01-28,2022,1,28,4,1,0,January,Friday,20220128
2022-01-29,2022,1,29,5,1,1,January,Saturday,20220129
2022-01-30,2022,1,30,6,1,1,January,Sunday,20220130
2022-01-31,2022,1,31,0,1,0,January,Monday,20220131
2022-02-01,2022,2,1,1,1,0,February,Tuesday,20220201
2022-02-02,2022,2,2,2,1,0,February,Wednesday,20220202
2022-02-03,2022,2,3,3,1,0,February,Thursday,20220203
2022-02-04,2022,2,4,4,1,0,February,Friday,20220204
2022-02-05,2022,2,5,5,1,1,February,Saturday,20220205
2022-02-06,2022,2,6,6,1,1,February,Sunday,20220206
2022-02-07,2022,2,7,0,1,0,February,Monday,20220207
2022-02-08,2022,2,8,1,1,0,February,Tuesday,20220208
2022-02-09,2022,2,9,2,1,0,February,Wednesday,20220209
