product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,id
prod_1,toys,80,760,1,9901,98,21,16,toys,prod_1
prod_2,toys,72,765,3,8086,16,45,47,toys,prod_2
prod_3,books,78,939,7,4799,14,31,9,books,prod_3
prod_4,furniture,27,981,2,7334,13,11,30,furniture,prod_4
prod_5,toys,29,663,9,3779,58,33,6,toys,prod_5
prod_6,furniture,79,917,7,9365,21,12,33,furniture,prod_6
prod_7,furniture,23,178,2,2412,35,11,18,furniture,prod_7
prod_8,books,22,962,8,5391,74,45,10,books,prod_8
prod_9,furniture,57,431,6,3685,27,47,16,furniture,prod_9
prod_10,clothing,57,228,9,7682,45,36,21,clothing,prod_10
prod_11,books,56,374,7,4098,77,7,45,books,prod_11
prod_12,furniture,24,418,2,5146,53,31,46,furniture,prod_12
prod_13,furniture,32,386,4,6151,73,47,20,furniture,prod_13
prod_14,furniture,78,660,3,7961,23,45,8,furniture,prod_14
prod_15,clothing,12,126,6,9573,90,35,36,clothing,prod_15
prod_16,toys,69,367,3,3147,68,36,9,toys,prod_16
prod_17,electronics,79,944,1,6230,53,28,38,electronics,prod_17
prod_18,furniture,52,808,1,1307,73,27,22,furniture,prod_18
prod_19,electronics,47,240,2,6354,65,26,25,electronics,prod_19
prod_20,electronics,36,192,3,8415,19,5,24,electronics,prod_20
prod_21,electronics,44,334,2,8117,10,17,40,electronics,prod_21
prod_22,clothing,20,134,5,3962,81,7,31,clothing,prod_22
prod_23,books,24,545,1,1508,19,47,43,books,prod_23
prod_24,clothing,57,524,6,2384,33,23,35,clothing,prod_24
prod_25,clothing,13,895,9,6935,87,29,22,clothing,prod_25
prod_26,clothing,97,281,2,4729,93,45,16,clothing,prod_26
prod_27,electronics,97,688,8,6651,96,5,34,electronics,prod_27
prod_28,furniture,56,140,2,5856,44,6,32,furniture,prod_28
prod_29,clothing,54,721,7,7522,24,44,29,clothing,prod_29
prod_30,books,51,744,1,1748,60,11,27,books,prod_30
prod_31,books,32,627,2,5941,78,5,48,books,prod_31
prod_32,furniture,18,464,7,5082,53,39,27,furniture,prod_32
prod_33,books,52,543,3,5484,10,14,11,books,prod_33
prod_34,books,48,912,6,6138,99,47,30,books,prod_34
prod_35,electronics,11,830,6,9742,40,12,15,electronics,prod_35
